CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
24290,MED,04000,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,LEADERSHIP IN COMMUNITY SVC,STAFF,   ,CMSRU Cooper Med School-Camden,,0,115,0,0,0,115,0,0,0,
24289,MED,04102,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,ALG CASE WRITING M4,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24288,MED,04103,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,INTEGRATED BEHAVIORAL MEDICINE,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24286,MED,04104,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,FINANCIAL LIFE FOR MEDICAL STU,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24285,MED,04105,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,PATIENT SAFETY,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24283,MED,04106,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,UTIL MANAGEMENT  OBSERVATION,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24282,MED,04150,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,MACHINE LEARNING IN MEDICINE,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24280,MED,04220,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,RADIOLOGY-INTERVENTIONAL,STAFF,   ,CMSRU Cooper Med School-Camden,,0,30,0,0,0,30,0,0,0,
24279,MED,04290,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,STUDENT SCHOLAR PROGRAM,STAFF,   ,CMSRU Cooper Med School-Camden,,0,20,0,0,0,20,0,0,0,
24179,MED,04301,  1,"CMSRU Spring M1 ... 
02-JAN to 27-JUN",Day,SCHOLARS WORKSHOP M1-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24191,MED,04303,  1,"CMSRU Spring M2 ... 
02-JAN to 27-JUN",Day,SCHOLARS WORKSHOP M2-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,114,0,0,0,114,0,0,0,
24266,MED,04305,  1,"CMSRU Spring M3 ... 
30-DEC to 27-JUN",Day,SCHOLARS WORKSHOP M3-B,STAFF,   ,CMSRU Cooper Med School-Camden,,1,118,0,0,0,118,0,0,0,
